token,frequency,quant,%,action,value
Chincoteage,1,1902961,98.98%,,
"Granary,",1,1902962,98.98%,,
"(Chincoteague),",1,1902963,98.98%,,
Lung..........1926,1,1902964,98.98%,,
Cie......1928,1,1902965,98.98%,,
Cie.......1929,1,1902966,98.98%,,
......1928,1,1902967,98.98%,,
Kitterle,1,1902968,98.98%,,
Schlumberger.....1934,1,1902969,98.98%,,
Sanctae,1,1902970,98.98%,,
"Odiliae,",1,1902971,98.98%,,
Weissenburger........1929,1,1902972,98.98%,,
"Brandluft,",1,1902973,98.98%,,
Boeckel........1932,1,1902974,98.98%,,
"Oberlooh,",1,1902975,98.98%,,
Walter.......1932,1,1902976,98.98%,,
"Hunawihr,",1,1902977,98.98%,,
Trimbach......1928,1,1902978,98.98%,,
"Domaines,",1,1902979,98.98%,,
Hugel........1933,1,1902980,98.98%,,
"Ribeauville,",1,1902981,98.98%,,
Trimbach.......1928,1,1902982,98.98%,,
Armagnca,1,1902983,98.98%,,
Amagnac,1,1902984,98.98%,,
Pre-Neuf,1,1902985,98.98%,,
"Years),",1,1902986,98.98%,,
Letorte,1,1902987,98.98%,,
Smirnovka,1,1902988,98.98%,,
"V.V.O,",1,1902989,98.98%,,
"Glaciale,",1,1902990,98.98%,,
Pahlen-Monopole,1,1902991,98.98%,,
Archambeaud,1,1902992,98.98%,,
Get'S,1,1902993,98.98%,,
Chaus,1,1902994,98.98%,,
Citronnades,1,1902995,98.98%,,
Orangeades,1,1902996,98.98%,,
Pilsen-Urquell,1,1902997,98.98%,,
(Tchecoslovaquie),1,1902998,98.98%,,
Purgos,1,1902999,98.98%,,
Contrexeville,1,1903000,98.98%,,
"Lucine,",1,1903001,98.98%,,
Posay,1,1903002,98.98%,,
"Rozana,",1,1903003,98.98%,,
Badiot,1,1903004,98.98%,,
Couronnes,1,1903005,98.98%,,
"""Gastronome""",1,1903006,98.98%,,
"Hoffmann,",1,1903007,98.98%,,
Fromm,1,1903008,98.98%,,
Kullmann,1,1903009,98.98%,,
Tappe,1,1903010,98.98%,,
"Staoueli,",1,1903011,98.98%,,
Beira,1,1903012,98.98%,,
"Cepa,",1,1903013,98.98%,,
Exporte,1,1903014,98.98%,,
Vila,1,1903015,98.98%,,
Gaya,1,1903016,98.98%,,
"Fatimas,",1,1903017,98.98%,,
"Marlboro,",1,1903018,98.98%,,
Menthol,1,1903019,98.98%,,
"Kensitas,",1,1903020,98.98%,,
"Coronets,",1,1903021,98.98%,,
"16,",1,1903022,98.98%,,
Balto,1,1903023,98.98%,,
Boyard,1,1903024,98.98%,,
"Hortensia,",1,1903025,98.98%,,
Filtra...,1,1903026,98.98%,,
Khedive,1,1903027,98.98%,,
Surfine...,1,1903028,98.98%,,
Monaco...,1,1903029,98.98%,,
Celtiques,1,1903030,98.98%,,
"Celtiques,",1,1903031,98.98%,,
Campeones,1,1903032,98.98%,,
Londrecitos,1,1903033,98.98%,,
"Verdad,",1,1903034,98.98%,,
"Elixires,",1,1903035,98.98%,,
"Vadis,",1,1903036,98.98%,,
Antionio,1,1903037,98.98%,,
Coronos,1,1903038,98.98%,,
Grendees,1,1903039,98.98%,,
"No7,",1,1903040,98.98%,,
"Monterrey,",1,1903041,98.98%,,
"Corona"",",1,1903042,98.98%,,
"Claros,",1,1903043,98.98%,,
Aluminum),1,1903044,98.98%,,
"Choisis,",1,1903045,98.98%,,
Caballero,1,1903046,98.98%,,
H:Nos,1,1903047,98.98%,,
Torr),1,1903048,98.98%,,
Humpert,1,1903049,98.98%,,
(Proscuitto),1,1903050,98.98%,,
"Puligny-Montracet,",1,1903051,98.98%,,
Domains,1,1903052,98.98%,,
Lambertins,1,1903053,98.98%,,
(Fenton),1,1903054,98.98%,,
Sec.),1,1903055,98.98%,,
--Butter,1,1903056,98.98%,,
Barcaiola,1,1903057,98.98%,,
(Fransk),1,1903058,98.98%,,
Fiftieth,1,1903059,98.98%,,
Naltet,1,1903060,98.98%,,
Aiguebelle,1,1903061,98.98%,,
Ste-Odile,1,1903062,98.98%,,
Verrieres,1,1903063,98.98%,,
(Normandin),1,1903064,98.98%,,
Worthington'S,1,1903065,98.98%,,
Guinnes'S,1,1903066,98.98%,,
Millanese,1,1903067,98.98%,,
Rollatina,1,1903068,98.98%,,
Coteletta,1,1903069,98.98%,,
(Gatti),1,1903070,98.98%,,
Manso,1,1903071,98.99%,,
Soglioa,1,1903072,98.99%,,
Mediterranea,1,1903073,98.99%,,
(Mediterranean),1,1903074,98.99%,,
Ac.S,1,1903075,98.99%,,
Saraco,1,1903076,98.99%,,
Sobliola,1,1903077,98.99%,,
Posillippo,1,1903078,98.99%,,
Aagosta,1,1903079,98.99%,,
Cheaubriand,1,1903080,98.99%,,
Filtto,1,1903081,98.99%,,
Babau,1,1903082,98.99%,,
Marroni,1,1903083,98.99%,,
Poncino,1,1903084,98.99%,,
"Cassissauce,",1,1903085,98.99%,,
"Williamsgelee,",1,1903086,98.99%,,
"Schneckenrahmsuppchen,",1,1903087,98.99%,,
"Calvadosrahm,",1,1903088,98.99%,,
Lachstater,1,1903089,98.99%,,
"Wodka-Dill-Sauce,",1,1903090,98.99%,,
Barbarier-Entenbrust,1,1903091,98.99%,,
"Macairekartoffeln,",1,1903092,98.99%,,
Standenselleri,1,1903093,98.99%,,
Rebsteaks,1,1903094,98.99%,,
Geffultes,1,1903095,98.99%,,
Hausegemachten,1,1903096,98.99%,,
Gnoblauchshaum,1,1903097,98.99%,,
Zuccinischeiben,1,1903098,98.99%,,
Lauenrucken,1,1903099,98.99%,,
"Gemisseeintopf,",1,1903100,98.99%,,
Schaffenmorellen,1,1903101,98.99%,,
Calvadosrahm,1,1903102,98.99%,,
Gredunstetes,1,1903103,98.99%,,
"Mouselinsauce,",1,1903104,98.99%,,
Krauter-Knoblauchbutter,1,1903105,98.99%,,
"Gemensestreifen,",1,1903106,98.99%,,
Norwigischer,1,1903107,98.99%,,
"Spinattimblae,",1,1903108,98.99%,,
"Omelett,",1,1903109,98.99%,,
"(Chesapeake),",1,1903110,98.99%,,
Poisoon,1,1903111,98.99%,,
6.5,1,1903112,98.99%,,
Hariots,1,1903113,98.99%,,
55,1,1903114,98.99%,,
Brochetton,1,1903115,98.99%,,
Salint,1,1903116,98.99%,,
Tomatojuice,1,1903117,98.99%,,
Pomodor,1,1903118,98.99%,,
Ambassabor,1,1903119,98.99%,,
"""Partenopea""",1,1903120,98.99%,,
Castilane,1,1903121,98.99%,,
Lohengrin,1,1903122,98.99%,,
Consumate,1,1903123,98.99%,,
Frolli,1,1903124,98.99%,,
(20Min),1,1903125,98.99%,,
Recter,1,1903126,98.99%,,
Ribbon),1,1903127,98.99%,,
Valdese,1,1903128,98.99%,,
Brodure,1,1903129,98.99%,,
Cynthia,1,1903130,98.99%,,
Golfer,1,1903131,98.99%,,
Potatoes--Candied,1,1903132,98.99%,,
Deglace,1,1903133,98.99%,,
-4,1,1903134,98.99%,,
42,1,1903135,98.99%,,
Demo-Tasse,1,1903136,98.99%,,
Fargues,1,1903137,98.99%,,
Palmiere,1,1903138,98.99%,,
Compliquee,1,1903139,98.99%,,
Dubbarry,1,1903140,98.99%,,
Balogues,1,1903141,98.99%,,
St.Emilon,1,1903142,98.99%,,
St-Emilon,1,1903143,98.99%,,
Misson,1,1903144,98.99%,,
Crabapples,1,1903145,98.99%,,
"Ch,",1,1903146,98.99%,,
Thenard),1,1903147,98.99%,,
Rognet,1,1903148,98.99%,,
"Laid,",1,1903149,98.99%,,
Shrired,1,1903150,98.99%,,
Ready--Roast,1,1903151,98.99%,,
To-Order--Broiler,1,1903152,98.99%,,
Boisin,1,1903153,98.99%,,
Barvaroise,1,1903154,98.99%,,
Creams--Fresh,1,1903155,98.99%,,
Fruits--Cantaloupe,1,1903156,98.99%,,
Snow-Capped,1,1903157,98.99%,,
Bite-Sized,1,1903158,98.99%,,
Raviogotte,1,1903159,98.99%,,
Mrmite,1,1903160,98.99%,,
Pitaachio,1,1903161,98.99%,,
Crownwell,1,1903162,98.99%,,
Malagaine,1,1903163,98.99%,,
Cold--Halibut,1,1903164,98.99%,,
"""Kept""",1,1903165,98.99%,,
Padlocked,1,1903166,98.99%,,
"Nuisance,",1,1903167,98.99%,,
Courts,1,1903168,98.99%,,
Observance,1,1903169,98.99%,,
Horizon,1,1903170,98.99%,,
Meal-Sized,1,1903171,98.99%,,
Vintaget,1,1903172,98.99%,,
Toncon,1,1903173,98.99%,,
"Montomorency,",1,1903174,98.99%,,
Buzzeca,1,1903175,98.99%,,
Cold-Gaspe,1,1903176,98.99%,,
Cold-Terrine,1,1903177,98.99%,,
"Potatoes:-Sweet,",1,1903178,98.99%,,
Cold--Consomme,1,1903179,98.99%,,
"Brevale,",1,1903180,98.99%,,
Cold--Sea,1,1903181,98.99%,,
"Printaniere""",1,1903182,98.99%,,
"Parmentier""",1,1903183,98.99%,,
Fambon,1,1903184,98.99%,,
"Saomon,",1,1903185,98.99%,,
"Capone,",1,1903186,98.99%,,
L'Orienal,1,1903187,98.99%,,
Cas.,1,1903188,98.99%,,
Mushroomsq,1,1903189,98.99%,,
Rom.,1,1903190,98.99%,,
Car.,1,1903191,98.99%,,
"""Mozzarella""",1,1903192,98.99%,,
I'Italienne,1,1903193,98.99%,,
"Feeme,",1,1903194,98.99%,,
D'Oervres,1,1903195,98.99%,,
Carrotss,1,1903196,98.99%,,
"Celery,Sliced",1,1903197,98.99%,,
Adolphe,1,1903198,98.99%,,
Mandalay,1,1903199,98.99%,,
"Lugana,",1,1903200,98.99%,,
F.Lli,1,1903201,98.99%,,
"Fraccaroli,",1,1903202,98.99%,,
"Monsupello,",1,1903203,98.99%,,
"Boatti,",1,1903204,98.99%,,
Pan-Roast,1,1903205,98.99%,,
"Saddle,Baby",1,1903206,98.99%,,
Sank,1,1903207,98.99%,,
Olands,1,1903208,98.99%,,
Orangeine,1,1903209,98.99%,,
Pomerianiane,1,1903210,98.99%,,
"Quaglia,",1,1903211,98.99%,,
Extra-Vergine,1,1903212,98.99%,,
Oliva,1,1903213,98.99%,,
Extra-Virgin,1,1903214,98.99%,,
Agliata,1,1903215,98.99%,,
Arrotolato,1,1903216,98.99%,,
Scapece,1,1903217,98.99%,,
"Anitra,",1,1903218,98.99%,,
Essiccati,1,1903219,98.99%,,
Passato,1,1903220,98.99%,,
3-4),1,1903221,98.99%,,
Pizzoccheri,1,1903222,98.99%,,
Half-Moons,1,1903223,98.99%,,
Morbidelle,1,1903224,98.99%,,
Rocotta,1,1903225,98.99%,,
Salmonata,1,1903226,98.99%,,
Affemicato,1,1903227,98.99%,,
"""Andrea""",1,1903228,98.99%,,
Beu,1,1903229,98.99%,,
Costatine,1,1903230,98.99%,,
Strangolapreti,1,1903231,98.99%,,
(Moscovi),1,1903232,98.99%,,
Moscovy,1,1903233,98.99%,,
Prosciuttino,1,1903234,98.99%,,
Quaglia,1,1903235,98.99%,,
Profumata,1,1903236,98.99%,,
Condite,1,1903237,98.99%,,
Nera,1,1903238,98.99%,,
Grutta,1,1903239,98.99%,,
Ripiena,1,1903240,98.99%,,
Bababe,1,1903241,98.99%,,
Cannolo,1,1903242,98.99%,,
Te',1,1903243,98.99%,,
Orleandaise,1,1903244,98.99%,,
*Madrilene,1,1903245,98.99%,,
Papaws,1,1903246,98.99%,,
Andalouisian,1,1903247,98.99%,,
"Messidor,",1,1903248,98.99%,,
Vermicelil,1,1903249,98.99%,,
"Kingfiesh,",1,1903250,98.99%,,
Polnisch',1,1903251,98.99%,,
Ceyon,1,1903252,98.99%,,
Bordolese...S.Q.,1,1903253,98.99%,,
Bordelaise...S.Q.,1,1903254,98.99%,,
Sirimps,1,1903255,98.99%,,
"Bordelaise""...S.Q.",1,1903256,98.99%,,
Omard,1,1903257,98.99%,,
"Newbourg""...S.Q.",1,1903258,98.99%,,
All'Americana...S.Q.,1,1903259,98.99%,,
L'Americaine...S.Q.,1,1903260,98.99%,,
"L'Americaine""...S.Q.",1,1903261,98.99%,,
Parigina...S.Q.,1,1903262,98.99%,,
Diavollo...S.Q.,1,1903263,98.99%,,
"""Marinara""",1,1903264,99.00%,,
Cardinale...S.Q.,1,1903265,99.00%,,
Cardinal...S.Q.,1,1903266,99.00%,,
Lobster...S.Q.,1,1903267,99.00%,,
Tromer'S,1,1903268,99.00%,,
Lessep,1,1903269,99.00%,,
"Spathetti,",1,1903270,99.00%,,
Egg-Noodles,1,1903271,99.00%,,
Tance,1,1903272,99.00%,,
Zingua,1,1903273,99.00%,,
Stagione...S.Q.,1,1903274,99.00%,,
Maionese...S.G.,1,1903275,99.00%,,
Dentale,1,1903276,99.00%,,
Mayonnaise...S.G.,1,1903277,99.00%,,
"""Mayonnaise""...S.G.",1,1903278,99.00%,,
Bollita...S.G.,1,1903279,99.00%,,
Loup-Marin,1,1903280,99.00%,,
Bouilli...S.G.,1,1903281,99.00%,,
Fish...S.G.,1,1903282,99.00%,,
Maules,1,1903283,99.00%,,
Bressa,1,1903284,99.00%,,
Arrosto...S.G.,1,1903285,99.00%,,
Rotie...S.G.,1,1903286,99.00%,,
Pullet...S.G.,1,1903287,99.00%,,
Tacchinetti,1,1903288,99.00%,,
Buroo,1,1903289,99.00%,,
Anitra...S.G.,1,1903290,99.00%,,
Canard...S.G.,1,1903291,99.00%,,
Duck...S.G.,1,1903292,99.00%,,
"""Villeroy""...S.G.",1,1903293,99.00%,,
"""Saltimbocca""",1,1903294,99.00%,,
Filetto...S.G,1,1903295,99.00%,,
Filet...S.G.,1,1903296,99.00%,,
Fillet...S.G.,1,1903297,99.00%,,
Chateaubriand...S.G.,1,1903298,99.00%,,
Brised,1,1903299,99.00%,,
Spachetti,1,1903300,99.00%,,
"Tomto,",1,1903301,99.00%,,
Caruse,1,1903302,99.00%,,
Laderle,1,1903303,99.00%,,
"Cacumbers,",1,1903304,99.00%,,
"Grill),",1,1903305,99.00%,,
Stasbourg,1,1903306,99.00%,,
"Kissel,",1,1903307,99.00%,,
(Scallops),1,1903308,99.00%,,
"Berlinoise,",1,1903309,99.00%,,
D'Antigny,1,1903310,99.00%,,
"Mackereal,",1,1903311,99.00%,,
"Coquilettes,",1,1903312,99.00%,,
Wine...S.G.,1,1903313,99.00%,,
Florentin...S.G.,1,1903314,99.00%,,
Primizie...S.G.,1,1903315,99.00%,,
Primeurs...S.G.,1,1903316,99.00%,,
Vegetables...S.G.,1,1903317,99.00%,,
Tartara...S.G.,1,1903318,99.00%,,
Tartare...S.G.,1,1903319,99.00%,,
Hamburgeoise,1,1903320,99.00%,,
(Bistecca),1,1903321,99.00%,,
Fiorentina...S.G.,1,1903322,99.00%,,
Casser,1,1903323,99.00%,,
Anglaise...S.Q.,1,1903324,99.00%,,
Freddo...S.Q.,1,1903325,99.00%,,
Meat...S.Q.,1,1903326,99.00%,,
Suzette...S.Q.,1,1903327,99.00%,,
Cioc.,1,1903328,99.00%,,
Indipendenza,1,1903329,99.00%,,
Sformato,1,1903330,99.00%,,
Canzone,1,1903331,99.00%,,
Profitterolles,1,1903332,99.00%,,
"Profitterolles""",1,1903333,99.00%,,
Formaggi...S.Q.,1,1903334,99.00%,,
Mattino,1,1903335,99.00%,,
"""Couvert""",1,1903336,99.00%,,
Saison...S.Q.,1,1903337,99.00%,,
Fruits...S.Q.,1,1903338,99.00%,,
Coperta,1,1903339,99.00%,,
Caviar...S.Q.,1,1903340,99.00%,,
Danim...S.Q.,1,1903341,99.00%,,
Danemark...S.Q.,1,1903342,99.00%,,
Salmoni...S.Q.,1,1903343,99.00%,,
Scampi...S.Q.,1,1903344,99.00%,,
Langoustines...S.Q.,1,1903345,99.00%,,
Cocktail...S.Q.,1,1903346,99.00%,,
Varies...S.Q.,1,1903347,99.00%,,
Hors-D'Oeuvres...S.Q.,1,1903348,99.00%,,
Strasburgo...S.Q.,1,1903349,99.00%,,
Fote-Gras,1,1903350,99.00%,,
Strasbourg...S.Q.,1,1903351,99.00%,,
Fote-Gras...S.Q.,1,1903352,99.00%,,
Gigner,1,1903353,99.00%,,
"Cressonierre,",1,1903354,99.00%,,
Hasn,1,1903355,99.00%,,
Dishes:-Beef,1,1903356,99.00%,,
Mongoleier,1,1903357,99.00%,,
Cavolineri,1,1903358,99.00%,,
Patata,1,1903359,99.00%,,
Langee,1,1903360,99.00%,,
Knukled,1,1903361,99.00%,,
Gima,1,1903362,99.00%,,
Cold-Consomme,1,1903363,99.00%,,
"Mcalpine,",1,1903364,99.00%,,
Pommerianian,1,1903365,99.00%,,
Houes,1,1903366,99.00%,,
At...,1,1903367,99.00%,,
Regularly...,1,1903368,99.00%,,
Bologuaise,1,1903369,99.00%,,
"1,75",1,1903370,99.00%,,
House-Smoked,1,1903371,99.00%,,
L'Antiboise,1,1903372,99.00%,,
Eater'S,1,1903373,99.00%,,
"Egggs,",1,1903374,99.00%,,
Riesenfeld,1,1903375,99.00%,,
Stes,1,1903376,99.00%,,
Beer-Imported,1,1903377,99.00%,,
Cardi,1,1903378,99.00%,,
"Bragance,",1,1903379,99.00%,,
Guiliana,1,1903380,99.00%,,
Coltivatore,1,1903381,99.00%,,
(Zuppa,1,1903382,99.00%,,
Alla),1,1903383,99.00%,,
Maubrey,1,1903384,99.00%,,
Milfoil,1,1903385,99.00%,,
Avellan,1,1903386,99.00%,,
Cold-Fish,1,1903387,99.00%,,
"Prosiutto,",1,1903388,99.00%,,
Panate,1,1903389,99.00%,,
Venezianz,1,1903390,99.00%,,
Amalfi,1,1903391,99.00%,,
"Consome,",1,1903392,99.00%,,
Alumi,1,1903393,99.00%,,
Rivierasco,1,1903394,99.00%,,
Melazane,1,1903395,99.00%,,
*Scaloppine,1,1903396,99.00%,,
"*Veal,",1,1903397,99.00%,,
Toscany,1,1903398,99.00%,,
Profitterole,1,1903399,99.00%,,
Intercoste,1,1903400,99.00%,,
Cosciotta,1,1903401,99.00%,,
Arrostite,1,1903402,99.00%,,
Purã¨E,1,1903403,99.00%,,
Shrimp-Tartar,1,1903404,99.00%,,
Laber,1,1903405,99.00%,,
Epinares,1,1903406,99.00%,,
Mcalpine,1,1903407,99.00%,,
Civit,1,1903408,99.00%,,
Menagtre,1,1903409,99.00%,,
"Vanilly,",1,1903410,99.00%,,
Burn,1,1903411,99.00%,,
"Marinette,",1,1903412,99.00%,,
"Crecque,",1,1903413,99.00%,,
Vendura,1,1903414,99.00%,,
Stoccofisso,1,1903415,99.00%,,
Galatina,1,1903416,99.00%,,
Gapon,1,1903417,99.00%,,
Keeper,1,1903418,99.00%,,
Malbin,1,1903419,99.00%,,
Hershield,1,1903420,99.00%,,
"""Can",1,1903421,99.00%,,
"This""",1,1903422,99.00%,,
Benny,1,1903423,99.00%,,
Luba,1,1903424,99.00%,,
Malina,1,1903425,99.00%,,
Judy,1,1903426,99.00%,,
Damone,1,1903427,99.00%,,
Milton,1,1903428,99.00%,,
Berle,1,1903429,99.00%,,
Goodson-Bill,1,1903430,99.00%,,
Todman,1,1903431,99.00%,,
"""I'Ve",1,1903432,99.00%,,
Jackie,1,1903433,99.00%,,
Joey,1,1903434,99.00%,,
Sobol,1,1903435,99.00%,,
Holm,1,1903436,99.00%,,
Mcnellis,1,1903437,99.00%,,
Kilgallan,1,1903438,99.00%,,
Ethel,1,1903439,99.00%,,
Danny,1,1903440,99.00%,,
Kaye,1,1903441,99.00%,,
Benzell,1,1903442,99.00%,,
Jane,1,1903443,99.00%,,
Tucker,1,1903444,99.00%,,
(I'Ll,1,1903445,99.00%,,
Tomorrow),1,1903446,99.00%,,
"Juanita,",1,1903447,99.00%,,
"Deslignac,",1,1903448,99.00%,,
Feries,1,1903449,99.00%,,
Geyseer,1,1903450,99.00%,,
"Chicken,Jeannette",1,1903451,99.00%,,
"(Split),",1,1903452,99.00%,,
Orson,1,1903453,99.00%,,
Leef,1,1903454,99.00%,,
Orecchie,1,1903455,99.00%,,
Preti,1,1903456,99.01%,,
Tradici,1,1903457,99.01%,,
Saucechoice,1,1903458,99.01%,,
Rochambeauchoice,1,1903459,99.01%,,
Eggchoice,1,1903460,99.01%,,
Ecarlotechoice,1,1903461,99.01%,,
Dennel,1,1903462,99.01%,,
Fishes,1,1903463,99.01%,,
Pached,1,1903464,99.01%,,
|Tartara,1,1903465,99.01%,,
Riccia,1,1903466,99.01%,,
Finoccho,1,1903467,99.01%,,
Naselli,1,1903468,99.01%,,
Nepoletana,1,1903469,99.01%,,
"Greyling,",1,1903470,99.01%,,
Knockerbocker,1,1903471,99.01%,,
Haiawatha,1,1903472,99.01%,,
Sosa,1,1903473,99.01%,,
Leibman'S,1,1903474,99.01%,,
Kinsbury,1,1903475,99.01%,,
"Fondante,",1,1903476,99.01%,,
Marillon,1,1903477,99.01%,,
"Kreusch,",1,1903478,99.01%,,
"Bro.,",1,1903479,99.01%,,
Sturdy,1,1903480,99.01%,,
Angem,1,1903481,99.01%,,
Ananaskucherl,1,1903482,99.01%,,
Schokoladensobe,1,1903483,99.01%,,
"0,4,1",1,1903484,99.01%,,
Thomasbock,1,1903485,99.01%,,
Malz-Nahrbier,1,1903486,99.01%,,
Rivigote,1,1903487,99.01%,,
Coutons,1,1903488,99.01%,,
Williamscristbirne,1,1903489,99.01%,,
Schilichte,1,1903490,99.01%,,
Slivovic,1,1903491,99.01%,,
Calvadoc,1,1903492,99.01%,,
"Wodka""",1,1903493,99.01%,,
"Rum-Verschnitt""",1,1903494,99.01%,,
"Eierlikor""",1,1903495,99.01%,,
Rot..5,1,1903496,99.01%,,
Weib..5Cl,1,1903497,99.01%,,
Soda..4Cl,1,1903498,99.01%,,
Cusenier..5Cl,1,1903499,99.01%,,
Merveuilleux,1,1903500,99.01%,,
"Vaudoise,",1,1903501,99.01%,,
"Jelee,",1,1903502,99.01%,,
"Lucernoise,",1,1903503,99.01%,,
Lecherli,1,1903504,99.01%,,
"Tessinoise,",1,1903505,99.01%,,
Olivettes-Persillee,1,1903506,99.01%,,
"(Desosse),",1,1903507,99.01%,,
Greyling,1,1903508,99.01%,,
"Ligornese,",1,1903509,99.01%,,
D'Orzo,1,1903510,99.01%,,
"Livornese,",1,1903511,99.01%,,
Capponi,1,1903512,99.01%,,
"Riso,",1,1903513,99.01%,,
Avorio,1,1903514,99.01%,,
Gardi,1,1903515,99.01%,,
Mascherata,1,1903516,99.01%,,
Quarti,1,1903517,99.01%,,
Roundlet,1,1903518,99.01%,,
Navarini,1,1903519,99.01%,,
"Scalllops,",1,1903520,99.01%,,
"Crabss,",1,1903521,99.01%,,
"Corquette,",1,1903522,99.01%,,
Inns,1,1903523,99.01%,,
Lacqueline,1,1903524,99.01%,,
Commordore,1,1903525,99.01%,,
*Gumbo,1,1903526,99.01%,,
Minanaise,1,1903527,99.01%,,
Neurchatel,1,1903528,99.01%,,
Francaised,1,1903529,99.01%,,
"D'Oeurve,",1,1903530,99.01%,,
Creom,1,1903531,99.01%,,
(Lederle(,1,1903532,99.01%,,
Sroneleigh,1,1903533,99.01%,,
"Primeus,",1,1903534,99.01%,,
Squat,1,1903535,99.01%,,
"D'Uxelles,",1,1903536,99.01%,,
Boubonaise,1,1903537,99.01%,,
"Gapefruit,",1,1903538,99.01%,,
Guglehopf,1,1903539,99.01%,,
Silesia,1,1903540,99.01%,,
Meon,1,1903541,99.01%,,
Casmir,1,1903542,99.01%,,
"Filet-Mignon,",1,1903543,99.01%,,
Aviatrix,1,1903544,99.01%,,
"Cabbge,",1,1903545,99.01%,,
Macedoince,1,1903546,99.01%,,
Robbings,1,1903547,99.01%,,
Sardines...per,1,1903548,99.01%,,
"Arlesienne,",1,1903549,99.01%,,
"Cornfritter,",1,1903550,99.01%,,
Julienne-Mongole,1,1903551,99.01%,,
Hannan,1,1903552,99.01%,,
"Moina,",1,1903553,99.01%,,
Deck.,1,1903554,99.01%,,
"Vallon,",1,1903555,99.01%,,
"Fournier,",1,1903556,99.01%,,
Deas,1,1903557,99.01%,,
"Leaves),",1,1903558,99.01%,,
Montreauil,1,1903559,99.01%,,
Potatoes(For,1,1903560,99.01%,,
(Lalande,1,1903561,99.01%,,
Pomerol),1,1903562,99.01%,,
(Prieur),1,1903563,99.01%,,
Laroche),1,1903564,99.01%,,
"""Tout-Chocolat""",1,1903565,99.01%,,
Noveau,1,1903566,99.01%,,
Nissarde,1,1903567,99.01%,,
Countty,1,1903568,99.01%,,
Clementtne,1,1903569,99.01%,,
Jellx,1,1903570,99.01%,,
Khediviale,1,1903571,99.01%,,
Washingtin,1,1903572,99.01%,,
"Paloise,",1,1903573,99.01%,,
Egyptiene,1,1903574,99.01%,,
Czechoslovak,1,1903575,99.01%,,
Tricolour,1,1903576,99.01%,,
Hea,1,1903577,99.01%,,
"Cussy,",1,1903578,99.01%,,
Bordures,1,1903579,99.01%,,
(Caffein-Free),1,1903580,99.01%,,
"Amamdine,",1,1903581,99.01%,,
Atlantik-Austern,1,1903582,99.01%,,
Gestobenem,1,1903583,99.01%,,
Camembert-Pumpernickel,1,1903584,99.01%,,
Dogfish,1,1903585,99.01%,,
Akobsmuscheln,1,1903586,99.01%,,
Oak-Leaf,1,1903587,99.01%,,
Potatoe-Radish,1,1903588,99.01%,,
Monk-Fish,1,1903589,99.01%,,
"Crã©Ole,",1,1903590,99.01%,,
Anchoies,1,1903591,99.01%,,
"Ice--Raspberry,",1,1903592,99.01%,,
"Toquefort,",1,1903593,99.01%,,
Oeuvres,1,1903594,99.01%,,
"Trommers,",1,1903595,99.01%,,
Liquoring,1,1903596,99.01%,,
Perspillade,1,1903597,99.01%,,
High-Grown,1,1903598,99.01%,,
Typically,1,1903599,99.01%,,
Lessen,1,1903600,99.01%,,
(Delicious.),1,1903601,99.01%,,
Parisi.,1,1903602,99.01%,,
Cinnamon.),1,1903603,99.01%,,
Crustaceans,1,1903604,99.01%,,
Macdedoine,1,1903605,99.01%,,
Linon'S,1,1903606,99.01%,,
Frittesr,1,1903607,99.01%,,
Cliced,1,1903608,99.01%,,
"Cosmopolite,",1,1903609,99.01%,,
Tait,1,1903610,99.01%,,
Saparilla,1,1903611,99.01%,,
Shcwepp'S,1,1903612,99.01%,,
Trollhattan-Ost,1,1903613,99.01%,,
Cutney,1,1903614,99.01%,,
Minionettes,1,1903615,99.01%,,
"Plates,",1,1903616,99.01%,,
Libers,1,1903617,99.01%,,
Abbysinienne,1,1903618,99.01%,,
Veggetable,1,1903619,99.01%,,
Ptager,1,1903620,99.01%,,
Rolettes,1,1903621,99.01%,,
Cochin:,1,1903622,99.01%,,
Cochin,1,1903623,99.01%,,
(Station,1,1903624,99.01%,,
Cafe),1,1903625,99.01%,,
(Swiss),1,1903626,99.01%,,
Copeau,1,1903627,99.01%,,
Banker,1,1903628,99.01%,,
"Bostonian,",1,1903629,99.01%,,
Roig,1,1903630,99.01%,,
Kho,1,1903631,99.01%,,
Sate:,1,1903632,99.01%,,
Indochinese,1,1903633,99.01%,,
Peare,1,1903634,99.01%,,
Vream,1,1903635,99.01%,,
Merniere,1,1903636,99.01%,,
Supremee,1,1903637,99.01%,,
Criole,1,1903638,99.01%,,
Clestine,1,1903639,99.01%,,
Burdure,1,1903640,99.01%,,
Grray,1,1903641,99.01%,,
Mackerer,1,1903642,99.01%,,
Itallienne,1,1903643,99.01%,,
Crermed,1,1903644,99.01%,,
"Bellvue,",1,1903645,99.01%,,
Bitoke,1,1903646,99.01%,,
"Rickeys,Fizzes",1,1903647,99.01%,,
"Feed,",1,1903648,99.02%,,
Ry-Krysp,1,1903649,99.02%,,
Ppttty,1,1903650,99.02%,,
"Chias,",1,1903651,99.02%,,
"Robespierre,",1,1903652,99.02%,,
"Parousky,",1,1903653,99.02%,,
"Mirroir,",1,1903654,99.02%,,
"Toulousaine,",1,1903655,99.02%,,
Anheuser-Busch-Budweiser,1,1903656,99.02%,,
Hormann-Wurzburger,1,1903657,99.02%,,
