id,price,high_price
1175675,4.5,2.25
1175676,5,2.5
1175677,4.5,2.25
1175679,5,2.5
1175680,4.5,2.25
1175681,4.5,2.25
1175682,3.5,1.75
1175683,5,2.5
1175685,4.5,2.25
1175686,4.5,2.25
1175687,4.5,2.25
1175712,2,1.25
1175728,3.5,1.75
1175729,3.5,1.75
1175730,3.5,1.75
1175731,2.75,1.5
1175732,2.5,1.25
1186673,0.4,0.15
1186674,0.4,0.25
1193959,0.4,0.25
1195036,75,40
1195046,90,50
1201898,0.15,0.13
1203107,15,0.25
1222226,0.4,0.25
1222228,0.4,0.25
1222266,0.4,0.25
1222268,0.4,0.25
1223024,0.4,0.25
1225110,3,1.5
1225111,2.5,1.25
1225112,2.5,1.25
1225113,2.5,1.25
1225114,2.5,1.25
1225116,2.5,1.25
1225120,3,1.75
1225127,3,1.75
1225131,4.5,2.25
1225135,5.5,3
1225139,5,2.75
1225143,4,2.25
1225148,5,2.75
1225181,4.5,2.25
1225307,4.5,2.5
1225308,4.5,2.5
1225309,6.5,3.5
1225310,5.5,3
1225311,5.5,3
1225312,5.5,3
1225313,6,3
1225314,6.5,3.25
1225315,6,3.25
1225316,38,3
1225317,8,4
1225318,7,3.75
1225319,5.5,3
1225321,5.5,3
1225322,6,3.25
1225323,12,3.25
1225324,5.5,3
1225325,5.5,3
1225326,5.5,3
1225327,5.5,3
1225328,6,3.25
1225329,6,3.25
1225330,5.5,3
1225331,6,3.25
1225332,5.25,2.75
1225333,5.5,3
1225335,5.5,3
1225336,5.5,3
1225337,5.75,3
1225338,6,3.25
1225358,6,3.25
1225363,11,3
1225369,6.5,3.5
1225373,6.5,3.5
1225375,5.5,3
1225377,6,3.25
1225653,15,1.5
1228728,0.8,0.45
1230237,0.4,0.25
1230239,0.4,0.25
1231575,40,15
1240732,0.75,0.4
1242375,0.75,0.4
1243205,5,2.5
1243206,5,2.5
1243207,5,2.5
1243208,5,2.5
1243209,2,1
1247216,0.5,0.1
1249575,0.3,0.25
1250351,15,0.2
1251011,1,0.5
1254479,0.25,0.15
1258415,4.75,2.5
1258416,4.5,2.25
1258417,4.5,2.25
1258418,4.5,2.25
1261077,2.5,1.25
1270192,5,0.65
1270685,0.2,0.1
1270768,0.2,0.1
1277711,1,0.35
1285127,40,15
1287365,3.25,0.6
1287374,1.65,0.3
1301515,3.25,0.6
1301563,1.75,0.95
1302264,5,2.5
1307287,0.5,0.1
1308313,2.5,0.4
1309500,5,2.5
1309870,2.5,0.5
1318133,40,0.75
1322263,3.25,0.6
1333880,0.5,0.1
1345177,0.25,0.15
1347475,4.5,2.25
1347477,4.5,2.25
1347478,4.5,2.25
1347479,4.5,2.25
1347480,4.5,2.25
1347482,75,2.5
1350803,0.5,0.1
1353921,1,0.6
1353924,50,1
1356727,25,5
1357074,1.75,0.9
